"","Angle","Temperature","Humidity","Zone1","Zone2","Zone3","ZoneAverage"
"1",0,16.6983333333333,77.3775,31435.2643658333,20914.760405,19582.5384891667,23977.5210866667
"2",0.0436332312998582,16.5608333333333,77.7833333333333,30727.2241816667,20411.7173216667,19107.0625433333,23415.3346822222
"3",0.0872664625997165,16.485,78.2241666666667,30083.3003391667,19971.8296233333,18680.7630366667,22911.9643330556
"4",0.130899693899575,16.4533333333333,78.38,29546.19391,19609.42967,18356.7408958333,22504.1214919444
"5",0.174532925199433,16.4241666666667,78.3691666666667,29064.6835716667,19177.6362991667,18082.9568416667,22108.4255708333
"6",0.218166156499291,16.4375,78.1583333333333,28583.2770391667,18836.1840916667,17768.6530141667,21729.3713816667
"7",0.261799387799149,16.4151666666667,78.2808333333333,28155.6089775,18465.8625541667,17518.8513008333,21380.1076108333
"8",0.305432619099008,16.36225,78.5166666666667,27831.8589166667,18261.0876933333,17297.8485208333,21130.2650436111
"9",0.349065850398866,16.3698333333333,78.65,27488.0213325,17952.7054975,17076.25321,20838.9933466667
"10",0.392699081698724,16.309,78.8083333333333,27254.35143,17691.1956616667,16835.4876341667,20593.6782419444
"11",0.436332312998582,16.2679166666667,78.7275,27116.2614166667,17478.7828966667,16689.6469583333,20428.2304238889
"12",0.479965544298441,16.2208333333333,78.5641666666667,26936.067145,17280.7995125,16478.5914216667,20231.8193597222
"13",0.523598775598299,16.2065,78.7916666666667,26717.9802925,17162.7882183333,16353.9095625,20078.2260244444
"14",0.567232006898157,16.22375,78.4583333333333,26540.45885,17059.5316525,16232.5298125,19944.1734383333
"15",0.610865238198015,16.21375,78.2191666666667,26296.1240308333,16866.7746133333,15875.67601375,19679.5248859722
"16",0.654498469497874,16.1546666666667,78.0608333333333,26072.9134233333,16749.3236,15803.7000655833,19541.9790296389
"17",0.698131700797732,16.122,78.0208333333333,25946.15254,16624.5004825,15666.7687306667,19412.4739177222
"18",0.74176493209759,15.9931666666667,78.3833333333333,25733.6237733333,16400.006785,15493.9691459167,19209.1999014167
"19",0.785398163397448,15.91625,78.4441666666667,25555.7980541667,16390.4988625,15424.10244525,19123.4664539722
"20",0.829031394697307,16.0038333333333,77.68,25486.000945,16320.966055,15344.6396733333,19050.5355577778
"21",0.872664625997165,16.0234166666667,77.02,25347.9172358333,16211.2715325,15124.973687,18894.7208184444
"22",0.916297857297023,15.9209166666667,77.4875,25131.9202908333,16083.1975808333,15056.51786675,18757.2119128056
